Word,Type,IPA,Definition,Example,Group
a,(indefinite article),/ə/ /eɪ/,"used before countable or singular nouns referring to people or things that have not already been mentionedused to show that somebody/something is a member of a group or professionany; everyused before uncountable nouns when these have an adjective in front of them, or phrase following themused in front of two nouns that are seen as a single unitused instead of one before some numbersused when talking about prices, quantities and ratesa person like somebodyused before somebody’s name to show that the speaker does not know the personused before the names of days of the week to talk about one particular day","a man/horse/unit
an aunt/egg/hour/x-ray
i can only carry two at a time.
there's a visitor for you.",Oxford 5000
abandon,(verb),/əˈbændən/ /əˈbændən/,"to leave somebody, especially somebody you are responsible for, with no intention of returningto leave a thing or place, especially because it is impossible or dangerous to stayto stop doing something, especially before it is finished; to stop having somethingto stop supporting or helping somebody; to stop believing in somethingto feel an emotion so strongly that you can feel nothing else","the baby had been abandoned by its mother.
people often simply abandon their pets when they go abroad.
‘we have been abandoned to our fate,’ said one resident.
the study showed a deep fear among the elderly of being abandoned to the care of strangers.",Oxford 5000
able,(adjective),/ˈeɪbl/ /ˈeɪbl/,"to have the skill, intelligence, opportunity, etc. needed to do somethingintelligent; good at something","you must be able to speak french for this job.
a viral illness left her barely able to walk.
we're still able to get visas to come and go from thailand.
i didn't feel able to disagree with him.",Oxford 5000
abortion,(noun),/əˈbɔːʃn/ /əˈbɔːrʃn/,the deliberate ending of a pregnancy at an early stagea medical operation to end a pregnancy at an early stagethe process of giving birth to a baby before it is fully developed and able to survive,"to support/oppose abortion
a woman’s right to abortion
the country's strict abortion laws
i've always been anti-abortion.",Oxford 5000
about,(preposition),/əˈbaʊt/ /əˈbaʊt/,"on the subject of somebody/something; in connection with somebody/somethingused to describe the purpose or an aspect of somethingbusy with something; doing somethingin many directions in a place; here and therein various parts of a place; here and therenext to a place or person; in the area mentionedsurrounding somebody/somethingused when asking for information about somebody/somethingused to make a suggestion","a book about flowers
tell me all about it.
what's she so angry about?
there's something strange about him.",Oxford 5000
above,(preposition),/əˈbʌv/ /əˈbʌv/,"at or to a higher place or position than something/somebodymore than something; greater in number, level or age than somebody/somethingof greater importance or of higher quality than somebody/somethingtoo good or too honest to do somethinglouder or clearer than another soundmost important of all; especiallyhaving too high an opinion of yourselfin addition to something","the water came above our knees.
we were flying above the clouds.
the people in the apartment above mine
a captain in the navy ranks above a captain in the army.",Oxford 5000
above,(preposition),/əˈbʌv/ /əˈbʌv/,"at or to a higher place or position than something/somebodymore than something; greater in number, level or age than somebody/somethingof greater importance or of higher quality than somebody/somethingtoo good or too honest to do somethinglouder or clearer than another soundmost important of all; especiallyhaving too high an opinion of yourselfin addition to something","the water came above our knees.
we were flying above the clouds.
the people in the apartment above mine
a captain in the navy ranks above a captain in the army.",Oxford 5000
abroad,(adverb),/əˈbrɔːd/ /əˈbrɔːd/,"in or to a foreign countrybeing talked about or felt by many peopleoutside; outdoors","to go/travel/live/study abroad
she worked abroad for a year.
imports of cheap food from abroad
he was famous, both at home and abroad (= in his own country and in other countries).",Oxford 5000
absence,(noun),/ˈæbsəns/ /ˈæbsəns/,"the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is awaythe fact of somebody/something not existing or not being available; a lack of somethingused to say that when you are away from somebody that you love, you love them even morenot present in a situation or place, when it is obvious that you should be there","the decision was made in my absence (= while i was not there).
we did not receive any news during his long absence.
absence from work
repeated absences from school",Oxford 5000
absent,(adjective),/ˈæbsənt/ /ˈæbsənt/,"not in a place because of illness, etc.not present in somethingshowing that you are not really looking at or thinking about what is happening around you","he was absent from work for two weeks.
local people were conspicuously absent from the meeting.
love was totally absent from his childhood.
an absent expression",Oxford 5000
